Name,Price,URL,Main Image URL,Local Main Image,Gallery Image URLs,Local Gallery Images,Detail Image URLs,Local Detail Images,Colors,Sizes,Tags
[BASIC단체티] 3104 나그랑 반팔 (남녀공용&아동용),"₩5,500",https://www.customzone.co.kr/상품/cz-at3104-raglan-tshirt/,https://www.customzone.co.kr/wp-content/uploads/2018/10/CZ_3104_나그랑반팔_상품목록B.gif,downloads/[BASIC단체티]_3104_나그랑_반팔_(남녀공용&아동용)/main_image.gif,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/BASIC단체티-3104-나그랑-반팔-남녀공용아동용.jpg,downloads/[BASIC단체티]_3104_나그랑_반팔_(남녀공용&아동용)/detail_1.jpg,"흰색/옥색, 흰색/곤색, 흰색/수박, 흰색/노랑, 흰색/빨강, 흰색/오렌지, 흰색/연두, 흰색/보라, 흰색/물색, 흰색/검정, 흰색/체리핑크, 흰색/코발트","아동-14호, 아동-15호, 아동-16호, 아동-17호, 아동-18호, S, M, L, XL, 2XL, 3XL (+₩500)","반팔티셔츠, 아동/여성티셔츠, Basic 단체티셔츠"
[길단] 76000L 24수 반팔 (여성용),"₩6,500₩5,500",https://www.customzone.co.kr/상품/gildan-ts76000l-24round-tshirt/,https://www.customzone.co.kr/wp-content/uploads/2018/10/길단_76000L여성반팔_상품목록B.jpg,downloads/[길단]_76000L_24수_반팔_(여성용)/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/길단-76000L-24수-반팔-여성용.jpg,downloads/[길단]_76000L_24수_반팔_(여성용)/detail_1.jpg,"헬리코니아, 라이트핑크, 데이지, 레드, 라임, 사파이어, 화이트, 스포트그레이, 블랙","S, M, L, XL","아동/여성티셔츠, 길단 GILDAN"
[길단] 76600 24수 링거티 (남녀공용),"₩7,500",https://www.customzone.co.kr/상품/gildan-ts76600-24ringer-tshirt/,https://www.customzone.co.kr/wp-content/uploads/2018/10/길단_76600링거티_상품목록B.jpg,downloads/[길단]_76600_24수_링거티_(남녀공용)/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/길단-76600-24수-링거티-남녀공용.jpg,downloads/[길단]_76600_24수_링거티_(남녀공용)/detail_1.jpg,"화이트/레드, 스포트그레이/네이비, 화이트/네이비","S, M, L, XL, 2XL (+₩1000)",길단 GILDAN
[트리플에이] 1304 18수 긴팔 (남녀공용),"₩14,000₩12,000",https://www.customzone.co.kr/상품/aaa-1304-longsleeve/,https://www.customzone.co.kr/wp-content/uploads/2018/10/AAA1304_상품목록B.jpg,downloads/[트리플에이]_1304_18수_긴팔_(남녀공용)/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2022/03/트리플에이-1304-18수-긴팔-남녀공용.jpg,downloads/[트리플에이]_1304_18수_긴팔_(남녀공용)/detail_1.jpg,"애쉬, 애틀레틱헤더, 블랙, 버건디, 챠콜, 챠콜헤더, 포레스트그린, 골드, 하버블루, 밀리터리그린, 네이비, 오렌지, 핑크, 레드, 로얄블루, 세이프티그린, 샌드, 화이트","S, M, L, XL, 2XL (+₩1500), 3XL (+₩3000)",트리플에이 AAA
[길단] 2400 18수 US핏 긴팔 (남녀공용),"₩12,000₩11,000",https://www.customzone.co.kr/상품/gildan-ls2400-usfit-18longsleeve/,https://www.customzone.co.kr/wp-content/uploads/2018/10/길단_2400긴팔_상품목록B.jpg,downloads/[길단]_2400_18수_US핏_긴팔_(남녀공용)/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/길단-2400-18수-US핏-긴팔-남녀공용.jpg,downloads/[길단]_2400_18수_US핏_긴팔_(남녀공용)/detail_1.jpg,"화이트, 스포트그레이, 네이비, 블랙, 골드","S, M, L, XL, 2XL (+₩3000), 3XL (+₩3000)","긴팔티셔츠, 길단 GILDAN"
[길단] 76700 24수 7부 나그랑 (남녀공용),"₩8,000",https://www.customzone.co.kr/상품/gildan-rt76700-24round-7raglan/,https://www.customzone.co.kr/wp-content/uploads/2018/10/길단_76700나그랑_상품목록B.jpg,downloads/[길단]_76700_24수_7부_나그랑_(남녀공용)/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/길단-76700-24수-7부-나그랑-남녀공용.jpg,downloads/[길단]_76700_24수_7부_나그랑_(남녀공용)/detail_1.jpg,"레드, 로얄블루","S, M, L, XL","긴팔티셔츠, 길단 GILDAN"
[BASIC단체티] 2134 특양면 맨투맨 (남녀공용&아동용),"₩12,000",https://www.customzone.co.kr/상품/cz-at2134-doublecotton-mtm/,https://www.customzone.co.kr/wp-content/uploads/2018/10/CZ_2134_특양맨투맨_상품목록B.gif,downloads/[BASIC단체티]_2134_특양면_맨투맨_(남녀공용&아동용)/main_image.gif,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/BASIC단체티-2134-특양면-맨투맨-남녀공용아동용.jpg,downloads/[BASIC단체티]_2134_특양면_맨투맨_(남녀공용&아동용)/detail_1.jpg,"연두, 노랑, 오렌지, 연분홍, 체리, 물색, 코발트, 곤색, 빨강, 자주, 보라, 수박, 아이보리, 멜란지, 진회색, 검정","14호, 15호, 16호, 17호, 18호, S, M, L, XL, 2XL, 3XL (+₩1000)","아동/여성티셔츠, 맨투맨, Basic 단체티셔츠"
[BASIC단체티] 2134 기모맨투맨 (남녀공용),"₩13,000",https://www.customzone.co.kr/상품/cz-at2134-fleece-mtm/,https://www.customzone.co.kr/wp-content/uploads/2018/10/CZ_2134_기모맨투맨_상품목록B.gif,downloads/[BASIC단체티]_2134_기모맨투맨_(남녀공용)/main_image.gif,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/BASIC단체티-2134-기모맨투맨-남녀공용.jpg,downloads/[BASIC단체티]_2134_기모맨투맨_(남녀공용)/detail_1.jpg,"아이보리, 멜란지, 진회색, 검정","S, M, L, XL, 2XL, 3XL (+₩1000)","맨투맨, Basic 단체티셔츠"
[트리플에이] 1309 18수 링거티 (남녀공용),"₩12,000₩10,000",https://www.customzone.co.kr/상품/aaa-1309-ringer-tshirt/,https://www.customzone.co.kr/wp-content/uploads/2018/10/AAA1309_상품목록B_수정.jpg,downloads/[트리플에이]_1309_18수_링거티_(남녀공용)/main_image.jpg,,,https://www.customzone.co.kr/wp-content/uploads/2022/03/트리플에이-1309-18수-링거티-남녀공용.jpg,downloads/[트리플에이]_1309_18수_링거티_(남녀공용)/detail_1.jpg,"애틀레틱헤더/블랙, 챠콜헤더/블랙","S, M, L, XL",트리플에이 AAA
[BASIC단체티] 2135 특양면후드 (남녀공용&아동용),"₩16,000",https://www.customzone.co.kr/상품/cz-at2135-doublecotton-hoodie/,https://www.customzone.co.kr/wp-content/uploads/2018/10/CZ_2135_특양면후드_상품목록B.gif,downloads/[BASIC단체티]_2135_특양면후드_(남녀공용&아동용)/main_image.gif,,,https://www.customzone.co.kr/wp-content/uploads/2018/10/BASIC단체티-2135-특양면후드-남녀공용아동용.jpg,downloads/[BASIC단체티]_2135_특양면후드_(남녀공용&아동용)/detail_1.jpg,"아이보리, 자주, 핑크, 연분홍, 곤색, 멜란지, 수박, 진회색, 노랑, 오렌지, 빨강, 검정, 연두, 물색, 코발트, 보라","14호, 15호, 16호, 17호, 18호, S, M, L, XL, 2XL, 3XL (+₩1000), 4XL (+₩2000)","아동/여성티셔츠, 후드, Basic 단체티셔츠"
